title,price,link_item,image_url,discount_percent_list,rating_average,review_count,official
 Đầm Xòe Trễ Vai Dễ Thương Dh018,199000,https://tiki.vn/dam-xoe-tre-vai-de-thuong-dh018-p59112896.html?spid=59112898,https://salt.tikicdn.com/cache/280x280/ts/product/58/8c/a5/cc540c6d10ef028b4a08031a252975a4.jpg,0,4.7,3,0
"Đầm suông linen cổ V thắt eo 2 màu,thời trang nữ phong cách trẻ trung Haint Boutique Hb72",299000,https://tiki.vn/dam-suong-linen-co-v-that-eo-2-mau-thoi-trang-nu-phong-cach-tre-trung-haint-boutique-hb72-p185977874.html?spid=185977886,https://salt.tikicdn.com/cache/280x280/ts/product/9e/a7/92/6dc60ae9a56b1794c3c05b2f5715492f.jpg,0,5.0,1,1
 Váy Đầm Dự Tiệc Thời Trang Cho Mẹ VH21 - Hàng Quảng Châu Cao Cấp,355000,https://tiki.vn/vay-dam-du-tiec-thoi-trang-cho-me-vh21-hang-quang-chau-cao-cap-p195113770.html?spid=195113774,https://salt.tikicdn.com/cache/280x280/ts/product/85/c5/1b/b80e1f635fceabc29a74b380b856da2a.jpg,0,0.0,0,0
Váy đầm lanh (tole) Vicci TVN004.7 vải xước họa  tiết hoa nền nâu (Size,150000,https://tiki.vn/vay-dam-lanh-tole-vicci-tvn004-7-vai-xuoc-hoa-tiet-hoa-nen-nau-p3074923.html?spid=3080939,https://salt.tikicdn.com/cache/280x280/ts/product/a3/1e/0e/03d6d53987e474de62ab61482b93299d.JPG,50,4.0,2,1
"Váy đầm lanh (tole) Thái 3D Vicci TVN004.3 thiết kế tay ngắn dáng đuôi cá suông nhẹ phối họa tiết hoa nền xanh nâu phù hợp mặc nhà, đi chơi",150000,https://tiki.vn/vay-dam-lanh-tole-vicci-thai-3d-tvn004-3co-tay-hoa-tiet-hoa-nen-xanh-nau-p2838919.html?spid=2865413,https://salt.tikicdn.com/cache/280x280/ts/product/0d/18/73/587f6afa7d700b2b2f48ef05089f5a70.JPG,50,4.0,2,1
"Đầm sơ mi nữ kẻ caro, Đầm đũi nữ ngắn tay, dáng dài phong cách công sở ARCTIC HUNTER AH73",199000,https://tiki.vn/dam-so-mi-nu-ke-caro-dam-dui-nu-ngan-tay-dang-dai-phong-cach-cong-so-arctic-hunter-ah73-p183558713.html?spid=183558715,https://salt.tikicdn.com/cache/280x280/ts/product/c7/e9/86/4c9513c4df09ec1a09985745f9d448fc.jpg,0,0.0,0,1
"Đầm xòe voan cổ tròn tay loe ArcticHunter, thời trang thương hiệu chính hãng",89000,https://tiki.vn/dam-xoe-voan-co-tron-tay-loe-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p75390523.html?spid=75390527,https://salt.tikicdn.com/cache/280x280/ts/product/8e/4a/c7/8ca3b6361959933eb66c6ef74c554ed7.jpg,0,0.0,0,1
"váy suông nữ ,đầm suông nữ sát nách dáng dài chất đũi 3 màu xinh xắn",80000,https://tiki.vn/vay-suong-nu-dam-suong-nu-sat-nach-dang-dai-chat-dui-3-mau-xinh-xan-p113332193.html?spid=113332195,https://salt.tikicdn.com/cache/280x280/ts/product/9b/f9/66/b7280399dff6c2b8b507ddf2309b0936.jpg,0,4.5,38,0
Đầm xòe đỏ kết hoa trắng-MS0605D,99000,https://tiki.vn/dam-xoe-do-ket-hoa-trang-ms0605d-p109190787.html?spid=181232811,https://salt.tikicdn.com/cache/280x280/ts/product/aa/98/99/9da76ce253f52253366fad8f34a56875.jpg,48,4.8,21,1
"Đầm suông linen cổ V túi hộp thắt eo ArcticHunter, thời trang thương hiệu chính hãng",280000,https://tiki.vn/dam-suong-linen-co-v-tui-hop-that-eo-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p67241193.html?spid=67241209,https://salt.tikicdn.com/cache/280x280/ts/product/e3/89/d2/2a2e7172879964f960b3dbc03ce63c87.jpg,0,4.5,43,1
