title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
"Xác case máy tính barebone Dell Optiplex 3050/5050 MT intel Socket 1151 thế hệ 6, 7",2.299.000 ₫,https://www.lazada.vn/products/xac-case-may-tinh-barebone-dell-optiplex-30505050-mt-intel-socket-1151-the-he-6-7-i1321731191.html,https://img.lazcdn.com/g/p/1bb694cd6c09fcfac69784a8b901e5a6.jpg_400x400q75.jpg_.webp,21,21,30% Off,Hà Nội,lazada,computerandlaptop,computer,21,0
"Case máy tính đồng bộ DELL OPTIPLEX 3040 SFF Core i7 6700 | RAM 16GB | ổ cứng SSD 256GB. Hàng Nhập Khẩu, Bảo hành 12 tháng 1 đổi 1",2.822.000 ₫,https://www.lazada.vn/products/case-may-tinh-dong-bo-dell-optiplex-3040-sff-core-i7-6700-ram-16gb-o-cung-ssd-256gb-hang-nhap-khau-bao-hanh-12-thang-1-doi-1-i1519189054.html,https://img.lazcdn.com/g/p/0dd7b1339afea12afbe9128572a87727.png_400x400q75.png_.webp,22,22,24% Off,"(1)
Hà Nội",lazada,computerandlaptop,computer,22,0
Case máy tính đồng bộ DELL Optiplex 3020 Intel Core i7 4770 | ram 16GB | Ổ cứng SSD 240GB + HDD 1TB .Tặng USB Thu Wifi Bảo hành 12 tháng,3.650.000 ₫,https://www.lazada.vn/products/case-may-tinh-dong-bo-dell-optiplex-3020-intel-core-i7-4770-ram-16gb-o-cung-ssd-240gb-hdd-1tb-tang-usb-thu-wifi-bao-hanh-12-thang-i1306306681.html,https://img.lazcdn.com/g/p/fa451aee53a04530355b946e9493712f.jpg_400x400q75.jpg_.webp,23,23,30% Off,"11 Đã bán
(7)
Hà Nội",lazada,computerandlaptop,computer,23,0
"Bộ máy tính để bàn DELL OPTIPLEX 5050 SFF Core i5 6500 | ram DDR4 8GB | SSD 240GB | Màn hình DELL 22 INCH . Tặng kèm bàn phím chuột DELL, USB WIFI.",5.190.000 ₫,https://www.lazada.vn/products/bo-may-tinh-de-ban-dell-optiplex-5050-sff-core-i5-6500-ram-ddr4-8gb-ssd-240gb-man-hinh-dell-22-inch-tang-kem-ban-phim-chuot-dell-usb-wifi-i217426543.html,https://img.lazcdn.com/g/p/1c403456e2d2a893cd73e54ba5829bf2.jpg_400x400q75.jpg_.webp,24,24,26% Off,"6 Đã bán
(2)
Hà Nội",lazada,computerandlaptop,computer,24,0
Mac Mini 2014 Core I7 / Ram 16Gb/SSD512GB,4.900.000 ₫,https://www.lazada.vn/products/mac-mini-2014-core-i7-ram-16gbssd512gb-i2122062360.html,https://img.lazcdn.com/g/p/d0d1594513acd3b522e5b49d88955597.jpg_400x400q75.jpg_.webp,25,25,43% Off,"17 Đã bán
(5)
Hồ Chí Minh",lazada,computerandlaptop,computer,25,0
"Combo case máy tính DELL 3010 cấu hình core i5 3470, ram 16gb, ổ cứng 500gb và Màn hình LG 22inch FULL HD. Qùa Tặng bàn phím, chuột DELL, usb wifi",7.299.990 ₫,https://www.lazada.vn/products/combo-case-may-tinh-dell-3010-cau-hinh-core-i5-3470-ram-16gb-o-cung-500gb-va-man-hinh-lg-22inch-full-hd-qua-tang-ban-phim-chuot-dell-usb-wifi-i316922393.html,https://img.lazcdn.com/g/p/acdf1e5bafc32424c590c4d70d85a309.jpg_400x400q75.jpg_.webp,26,26,30% Off,Hà Nội,lazada,computerandlaptop,computer,26,0
"Bộ máy tính để bàn PC Gaming + Màn hình 22inch FULL viền cấu hình core i7 3770, Ram 4GB SSD 240GB Card VGA 2GB chiến game PUBG mobile, PUBG lite, LOL, CF đột kích, Fifa, Cs + Quà Tặng bàn phím chuột chuyên Game LED",7.935.000 ₫,https://www.lazada.vn/products/bo-may-tinh-de-ban-pc-gaming-man-hinh-22inch-full-vien-cau-hinh-core-i7-3770-ram-4gb-ssd-240gb-card-vga-2gb-chien-game-pubg-mobile-pubg-lite-lol-cf-dot-kich-fifa-cs-qua-tang-ban-phim-chuot-chuyen-game-led-i200237790.html,https://img.lazcdn.com/g/p/87738cc0e901ddc4a0763d0dd2f9dfdb.jpg_400x400q75.jpg_.webp,27,27,30% Off,"16 Đã bán
(5)
Hà Nội",lazada,computerandlaptop,computer,27,0
Thùng máy tính đồng bộ DELL Optiplex cấu hình khủng Intel core i7 3770 - ram 8GB - ổ cứng SSD 240GB.Bảo hành 1 năm,2.725.000 ₫,https://www.lazada.vn/products/thung-may-tinh-dong-bo-dell-optiplex-cau-hinh-khung-intel-core-i7-3770-ram-8gb-o-cung-ssd-240gbbao-hanh-1-nam-i213994922.html,https://img.lazcdn.com/g/p/5fe4aaaa0abb42cff0dcd1421a3ac73e.jpg_400x400q75.jpg_.webp,28,28,21% Off,"20 Đã bán
(5)
Hà Nội",lazada,computerandlaptop,computer,28,0
Mini PC Dell Optiplex 5080 micro desktop - i5 10500T 6 nhân 12 luồng,6.190.000 ₫,https://www.lazada.vn/products/mini-pc-dell-optiplex-5080-micro-desktop-i5-10500t-6-nhan-12-luong-i2512224816.html,https://img.lazcdn.com/g/p/5d3b7077318b732f2d867067b9213ec6.jpg_400x400q75.jpg_.webp,29,29,,Hồ Chí Minh,lazada,computerandlaptop,computer,29,0
CASE máy tính để bàn DELL Optiplex 3060 SFF Core i5 8400 | RAM 16GB | SSD NVME 512GB. Hàng Nhập Khẩu Like new 98 - 99%. Bảo hành 24 tháng 1 đổi 1,4.638.880 ₫,https://www.lazada.vn/products/case-may-tinh-de-ban-dell-optiplex-3060-sff-core-i5-8400-ram-16gb-ssd-nvme-512gb-hang-nhap-khau-like-new-98-99-bao-hanh-24-thang-1-doi-1-i1363268360.html,https://img.lazcdn.com/g/ff/kf/S762bea985b1c4a939f395db03fddf6c2D.png_400x400q75.png_.webp,30,30,33% Off,"12 Đã bán
(3)
Hà Nội",lazada,computerandlaptop,computer,30,0
