title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,official_idx,official
LAPTOP A1466 -AIR 2013 CORE I5 RAM 4G SSD 128G 13.3INCH,4.050.000 ₫,https://www.lazada.vn/products/laptop-a1466-air-2013-core-i5-ram-4g-ssd-128g-133inch-i2402461906.html,38,38,48% Off,Hồ Chí Minh,lazada,38,
"Laptop 2 trong 1 Microsoft Surface Book 1 màn hình cảm ứng, bàn phím tháo rời, có cả i5 và i7 kèm chuột không dây, lót chuột, cổng chuyển đổi mini dislayport to HDMI, cặp chống sốc tại Van Anh IT",6.850.000 ₫,https://www.lazada.vn/products/laptop-2-trong-1-microsoft-surface-book-1-man-hinh-cam-ung-ban-phim-thao-roi-co-ca-i5-va-i7-kem-chuot-khong-day-lot-chuot-cong-chuyen-doi-mini-dislayport-to-hdmi-cap-chong-soc-tai-van-anh-it-i1869343276.html,39,39,,Thanh Hóa,lazada,39,
"Màn hình Laptop HP Probook 4430s 4431s 4435s Chuẩn HD. Hàng New original, Bảo hành đầy đủ",499.000 ₫,https://www.lazada.vn/products/man-hinh-laptop-hp-probook-4430s-4431s-4435s-chuan-hd-hang-new-original-bao-hanh-day-du-i1685691170.html,40,40,23% Off,Hà Nội,lazada,40,
"Thanh lý Laptop Acer 4738, Pentum R, ram 3G. Giá bán 1,1 triệu.",999.020 ₫,https://www.lazada.vn/products/thanh-ly-laptop-acer-4738-pentum-r-ram-3g-gia-ban-11-trieu-i2292387334.html,1,1,9% Off,"(1)
Tiền Giang",lazada,1,
Thành lý máy tính sách tay laptop học tập sử dụng văn phòng văn bản giải trí,864.999 ₫,https://www.lazada.vn/products/thanh-ly-may-tinh-sach-tay-laptop-hoc-tap-su-dung-van-phong-van-ban-giai-tri-i2273037387.html,2,2,28% Off,"14 Đã bán
Hưng Yên",lazada,2,
Laptop Asus Vivobook 16 M1605YA-MB303W (AMD Ryzen 7-7730U) (Bạc) - Bảo hành 24 tháng,15.939.000 ₫,https://www.lazada.vn/products/laptop-asus-vivobook-16-m1605ya-mb303w-amd-ryzen-7-7730u-bac-bao-hanh-24-thang-i2584781043.html,3,3,14% Off,"(1)
Hồ Chí Minh",lazada,3,
MSI KATANA GF66 CORE I7 11800H RAM 8GB SSD 512GB 15.6INCH 144HZ VGA RTX 3050 CÒN BẢO HÀNH,15.120.000 ₫,https://www.lazada.vn/products/msi-katana-gf66-core-i7-11800h-ram-8gb-ssd-512gb-156inch-144hz-vga-rtx-3050-con-bao-hanh-i2362230164.html,4,4,20% Off,"(1)
Hồ Chí Minh",lazada,4,
"MSI Creator Z17 17"" Professional Creator Laptop: Intel Core i9-12900H RTX 3080 Ti 64GB DDR5 2TB NVMe SSD, QHD+ 165hz Touch 100% DCI-P3, Thunderbolt 4 w/ PD Charging, Win 11 Pro: Lunar Gray A12UHST-046",90.850.900 ₫,https://www.lazada.vn/products/msi-creator-z17-17-professional-creator-laptop-intel-core-i9-12900h-rtx-3080-ti-64gb-ddr5-2tb-nvme-ssd-qhd-165hz-touch-100-dci-p3-thunderbolt-4-w-pd-charging-win-11-pro-lunar-gray-a12uhst-046-i2289083310.html,5,5,,"16 Đã bán
Bình Thuận",lazada,5,
LENOVO THINKPAD T480S CORE I7 8650U RAM 8GB SSD 256GB 14INCH FHD,7.743.000 ₫,https://www.lazada.vn/products/lenovo-thinkpad-t480s-core-i7-8650u-ram-8gb-ssd-256gb-14inch-fhd-i2216087620.html,6,6,26% Off,Hồ Chí Minh,lazada,6,
"Bán Xác Laptop Sony Vaio SVE11125CVB, máy chạy có đèn nguồn không lên hình. Giá bán 400k.",400.000 ₫,https://www.lazada.vn/products/ban-xac-laptop-sony-vaio-sve11125cvb-may-chay-co-den-nguon-khong-len-hinh-gia-ban-400k-i2346364403.html,7,7,,"(1)
Tiền Giang",lazada,7,
